campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_p95_watched_actions,video_avg_time_watched_actions,clicks,ctr,actions,cost_per_action_type,spend,frequency,date_start,date_stop,age,gender,account_id,outbound_clicks_ctr,cpc,action_values,purchase_roas,link_clicks,view_content,video_views_3_Sec,Add_to_cart,initiate_checkout,purchase,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,conversion_value,ROAS
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,28.629271,118,112,96,4,4,0,0,"[{'action_type': 'page_engagement', 'value': '29'}, {'action_type': 'post_engagement', 'value': '29'}, {'action_type': 'video_view', 'value': '29'}]","[{'action_type': 'page_engagement', 'value': '0.116492'}, {'action_type': 'post_engagement', 'value': '0.116492'}, {'action_type': 'video_view', 'value': '0.116492'}]",3.378254,1.053571,2024-08-06,2024-08-06,18-24,female,382451670462161,0,,,,0,0,29,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,14.278335,7,7,6,0,0,0,0,,,0.099948,1,2024-08-06,2024-08-06,18-24,male,382451670462161,0,,,,0,0,0,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,54.971588,2,2,2,0,24,0,0,"[{'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'video_view', 'value': '2'}]","[{'action_type': 'page_engagement', 'value': '0.054972'}, {'action_type': 'post_engagement', 'value': '0.054972'}, {'action_type': 'video_view', 'value': '0.054972'}]",0.109943,1,2024-08-06,2024-08-06,18-24,unknown,382451670462161,0,,,,0,0,2,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,31.546196,512,459,460,15,3,10,1.953125,"[{'action_type': 'onsite_web_app_view_content', 'value': '3'}, {'action_type': 'landing_page_view', 'value': '3'}, {'action_type': 'page_engagement', 'value': '90'}, {'action_type': 'post_engagement', 'value': '90'}, {'action_type': 'view_content', 'value': '3'}, {'action_type': 'onsite_web_view_content', 'value': '3'}, {'action_type': 'video_view', 'value': '83'}, {'action_type': 'omni_view_content', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '3'}, {'action_type': 'link_click', 'value': '7'}]","[{'action_type': 'omni_view_content', 'value': '5.383884'}, {'action_type': 'link_click', 'value': '2.307379'}, {'action_type': 'page_engagement', 'value': '0.179463'}, {'action_type': 'post_engagement', 'value': '0.179463'}, {'action_type': 'view_content', 'value': '5.383884'}, {'action_type': 'landing_page_view', 'value': '5.383884'}, {'action_type': 'video_view', 'value': '0.194598'}, {'action_type': 'onsite_web_app_view_content', 'value': '5.383884'}, {'action_type': 'onsite_web_view_content', 'value': '5.383884'}]",16.151652,1.115468,2024-08-06,2024-08-06,25-34,female,382451670462161,1.367188,1.615165,"[{'action_type': 'view_content', 'value': '1347'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '1347'}, {'action_type': 'omni_view_content', 'value': '1347'}, {'action_type': 'onsite_web_app_view_content', 'value': '1347'}, {'action_type': 'onsite_web_view_content', 'value': '1347'}]",,7,3,83,0,0,0,2.307379,5.383884,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,49.974171,14,12,12,0,3,0,0,"[{'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'video_view', 'value': '3'}]","[{'action_type': 'page_engagement', 'value': '0.233213'}, {'action_type': 'post_engagement', 'value': '0.233213'}, {'action_type': 'video_view', 'value': '0.233213'}]",0.699638,1.166667,2024-08-06,2024-08-06,25-34,male,382451670462161,0,,,,0,0,3,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,13.992768,5,5,4,0,1,0,0,"[{'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'video_view', 'value': '1'}]","[{'action_type': 'page_engagement', 'value': '0.069964'}, {'action_type': 'post_engagement', 'value': '0.069964'}, {'action_type': 'video_view', 'value': '0.069964'}]",0.069964,1,2024-08-06,2024-08-06,25-34,unknown,382451670462161,0,,,,0,0,1,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,35.156001,1177,1039,1075,50,7,16,1.359388,"[{'action_type': 'onsite_web_app_view_content', 'value': '5'}, {'action_type': 'landing_page_view', 'value': '4'}, {'action_type': 'page_engagement', 'value': '295'}, {'action_type': 'post_engagement', 'value': '295'}, {'action_type': 'view_content', 'value': '5'}, {'action_type': 'onsite_web_view_content', 'value': '5'}, {'action_type': 'video_view', 'value': '284'}, {'action_type': 'omni_view_content', 'value': '5'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '5'}, {'action_type': 'post_reaction', 'value': '3'}, {'action_type': 'link_click', 'value': '8'}]","[{'action_type': 'omni_view_content', 'value': '8.275723'}, {'action_type': 'link_click', 'value': '5.172327'}, {'action_type': 'page_engagement', 'value': '0.140266'}, {'action_type': 'post_engagement', 'value': '0.140266'}, {'action_type': 'view_content', 'value': '8.275723'}, {'action_type': 'landing_page_view', 'value': '10.344653'}, {'action_type': 'video_view', 'value': '0.145699'}, {'action_type': 'onsite_web_app_view_content', 'value': '8.275723'}, {'action_type': 'onsite_web_view_content', 'value': '8.275723'}]",41.378614,1.13282,2024-08-06,2024-08-06,35-44,female,382451670462161,0.679694,2.586163,"[{'action_type': 'view_content', 'value': '2245'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '2245'}, {'action_type': 'omni_view_content', 'value': '2245'}, {'action_type': 'onsite_web_app_view_content', 'value': '2245'}, {'action_type': 'onsite_web_view_content', 'value': '2245'}]",,8,5,284,0,0,0,5.172327,8.275723,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,14.992251,14,14,13,2,10,1,7.142857,"[{'action_type': 'page_engagement', 'value': '5'}, {'action_type': 'post_engagement', 'value': '5'}, {'action_type': 'video_view', 'value': '5'}]","[{'action_type': 'page_engagement', 'value': '0.041978'}, {'action_type': 'post_engagement', 'value': '0.041978'}, {'action_type': 'video_view', 'value': '0.041978'}]",0.209892,1,2024-08-06,2024-08-06,35-44,male,382451670462161,0,0.209892,,,0,0,5,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,29.984503,8,7,8,0,2,0,0,"[{'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'video_view', 'value': '2'}]","[{'action_type': 'page_engagement', 'value': '0.119938'}, {'action_type': 'post_engagement', 'value': '0.119938'}, {'action_type': 'video_view', 'value': '0.119938'}]",0.239876,1.142857,2024-08-06,2024-08-06,35-44,unknown,382451670462161,0,,,,0,0,2,0,0,0,0,0,0,0,0,0
AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,55.666948,1308,1151,1196,84,7,33,2.522936,"[{'action_type': 'omni_add_to_cart', 'value': '2'}, {'action_type': 'omni_initiated_checkout', 'value': '2'}, {'action_type': 'onsite_web_app_view_content', 'value': '19'}, {'action_type': 'landing_page_view', 'value': '14'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '2'}, {'action_type': 'page_engagement', 'value': '450'}, {'action_type': 'onsite_web_add_to_cart', 'value': '2'}, {'action_type': 'post_engagement', 'value': '450'}, {'action_type': 'view_content', 'value': '19'}, {'action_type': 'onsite_web_view_content', 'value': '19'}, {'action_type': 'add_to_cart', 'value': '2'}, {'action_type': 'video_view', 'value': '428'}, {'action_type': 'omni_view_content', 'value': '19'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '19'}, {'action_type': 'post_reaction', 'value': '6'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '2'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '2'}, {'action_type': 'initiate_checkout', 'value': '2'}, {'action_type': 'link_click', 'value': '16'}]","[{'action_type': 'initiate_checkout', 'value': '36.406184'}, {'action_type': 'omni_view_content', 'value': '3.83223'}, {'action_type': 'link_click', 'value': '4.550773'}, {'action_type': 'onsite_web_add_to_cart', 'value': '36.406184'}, {'action_type': 'page_engagement', 'value': '0.161805'}, {'action_type': 'post_engagement', 'value': '0.161805'}, {'action_type': 'view_content', 'value': '3.83223'}, {'action_type': 'onsite_web_app_add_to_cart', 'value': '36.406184'}, {'action_type': 'landing_page_view', 'value': '5.200883'}, {'action_type': 'omni_initiated_checkout', 'value': '36.406184'}, {'action_type': 'omni_add_to_cart', 'value': '36.406184'}, {'action_type': 'video_view', 'value': '0.170122'}, {'action_type': 'onsite_web_app_view_content', 'value': '3.83223'}, {'action_type': 'onsite_web_view_content', 'value': '3.83223'}, {'action_type': 'add_to_cart', 'value': '36.406184'}]",72.812367,1.136403,2024-08-06,2024-08-06,45-54,female,382451670462161,1.223242,2.206435,"[{'action_type': 'onsite_web_app_add_to_cart', 'value': '898'}, {'action_type': 'onsite_web_add_to_cart', 'value': '898'}, {'action_type': 'omni_add_to_cart', 'value': '898'}, {'action_type': 'initiate_checkout', 'value': '898'}, {'action_type': 'offsite_conversion.fb_pixel_initiate_checkout', 'value': '898'}, {'action_type': 'offsite_conversion.fb_pixel_add_to_cart', 'value': '898'}, {'action_type': 'view_content', 'value': '8681'}, {'action_type': 'offsite_conversion.fb_pixel_view_content', 'value': '8681'}, {'action_type': 'omni_initiated_checkout', 'value': '898'}, {'action_type': 'omni_view_content', 'value': '8681'}, {'action_type': 'onsite_web_app_view_content', 'value': '8681'}, {'action_type': 'onsite_web_view_content', 'value': '8681'}, {'action_type': 'add_to_cart', 'value': '898'}]",,16,19,428,2,2,0,4.550773,3.83223,36.406184,0,0,0
