date_start,date_stop,campaign_name,adset_name,ad_name,cpm,impressions,reach,video_play_actions,video_views_3_Sec,video_p95_watched_actions,video_avg_time_watched_actions,clicks,link_clicks,ctr,outbound_clicks_ctr,view_content,Add_to_cart,initiate_checkout,purchase,cpc,link_click_cost,view_content_cost,add_to_cart_cost,purchase_cost,spend,ROAS,conversion_value,age,gender,frequency
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,28.629271,118,112,96,29,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.378254,0,0,18-24,female,1.053571
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,14.278335,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099948,0,0,18-24,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,54.971588,2,2,2,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109943,0,0,18-24,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,31.546196,512,459,460,83,15,3,10,7,1.953125,1.367188,3,0,0,0,1.615165,2.307379,5.383884,0,0,16.151652,0,0,25-34,female,1.115468
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,49.974171,14,12,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699638,0,0,25-34,male,1.166667
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,13.992768,5,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069964,0,0,25-34,unknown,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,35.156001,1177,1039,1075,284,50,7,16,8,1.359388,0.679694,5,0,0,0,2.586163,5.172327,8.275723,0,0,41.378614,0,0,35-44,female,1.13282
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,14.992251,14,14,13,5,2,10,1,0,7.142857,0,0,0,0,0,0.209892,0,0,0,0,0.209892,0,0,35-44,male,1
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,29.984503,8,7,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239876,0,0,35-44,unknown,1.142857
2024-08-06,2024-08-06,AS-PM-Advantage-04-07-24 Campaña,AS-PM-Advantage-04-07-24 Conjunto de anuncios,Vídeo 7.1 pestañas,55.666948,1308,1151,1196,428,84,7,33,16,2.522936,1.223242,19,2,2,0,2.206435,4.550773,3.83223,36.406184,0,72.812367,0,0,45-54,female,1.136403
